Date,Open,High,Low,Close,Adj Close,Volume
2021-03-17,16312.98,16349.21,16166.35,16215.82,16215.82,4911400
2021-03-18,16264.61,16410.02,16264.61,16287.84,16287.84,5694800
2021-03-19,16186.46,16186.46,16022.17,16070.24,16070.24,6753400
2021-03-22,16065.5,16235.63,15983.77,16189.22,16189.22,7093200
2021-03-23,16250.2,16351.38,16166.29,16177.59,16177.59,7291400
2021-03-24,15994.96,16125.54,15967.95,16032.12,16032.12,5549900
2021-03-25,16010.54,16146.58,15944.96,16060.14,16060.14,5947800
2021-03-26,16140.37,16325.62,16140.37,16305.88,16305.88,5404200
2021-03-29,16411.67,16520.89,16411.67,16475.97,16475.97,6897800
2021-03-30,16490.31,16556.19,16438.4,16554.9,16554.9,5851100
2021-03-31,16529.23,16550.2,16427.2,16431.13,16431.13,5865500
2021-04-01,16538.28,16602.47,16496.16,16571.28,16571.28,5687600
2021-04-07,16771.35,16816.34,16715.32,16815.36,16815.36,6682200
2021-04-08,16786.56,16926.72,16735.78,16926.44,16926.44,7382600
2021-04-09,16974.28,17016.13,16815.59,16854.1,16854.1,8624700
2021-04-12,16908.55,16979.35,16793.54,16859.7,16859.7,9009000
2021-04-13,16872.4,17041.37,16802.22,16824.91,16824.91,10350300
2021-04-14,16869.78,16935.39,16559.57,16865.97,16865.97,10140000
2021-04-15,16851.06,17076.73,16851.06,17076.73,17076.73,7006700
2021-04-16,17028.35,17158.81,16998.91,17158.81,17158.81,7912900
2021-04-19,17141.25,17294.15,17135.52,17263.28,17263.28,10158100
2021-04-20,17231.58,17323.87,17175.02,17323.87,17323.87,9165400
2021-04-21,17282.76,17282.76,17167.39,17202.11,17202.11,9427000
2021-04-22,17302.73,17428.15,17066.17,17096.97,17096.97,14999500
2021-04-23,17117.49,17300.27,17055.48,17300.27,17300.27,9329900
2021-04-26,17378.36,17572.29,17378.36,17572.29,17572.29,9298000
2021-04-27,17586.02,17630.19,17489.71,17595.9,17595.9,9687900
2021-04-28,17610.72,17628.81,17497.74,17567.53,17567.53,10510700
2021-04-29,17646.93,17709.23,17548.3,17566.66,17566.66,10991600
2021-05-03,17505.52,17546.94,17222.35,17222.35,17222.35,11037100
2021-05-04,17249.56,17328.55,16647.61,16933.78,16933.78,12968600
2021-05-05,16968.75,17052.2,16843.44,16843.44,16843.44,8435500
2021-05-06,16925.52,17088.73,16764.71,16994.36,16994.36,9028200
2021-05-07,17032.23,17285.0,17032.23,17285.0,17285.0,8356000
2021-05-10,17274.23,17304.47,17188.15,17235.61,17235.61,9059300
2021-05-11,17137.19,17137.19,16460.87,16583.13,16583.13,12909700
